Date,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (hours),Apple Stand Time (min),Cardio Recovery (count/min),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),VO2 Max (ml/(kg·min)),N - Apple Exercise Time (min),N - Active Energy (kcal),N - VO2 Max (ml/(kg·min)),N - Heart Rate Variability (ms),N - Apple Stand Time (min),N - Sleep Analysis [Total] (hr),N - Sleep Analysis [Core] (hr),N - Sleep Analysis [Deep] (hr),N - Sleep Analysis [REM] (hr),N - Heart Rate [Min] (bpm),N - Respiratory Rate (count/min),Health Score
2025-04-02,280.7,,,,,,,,,17.34084900196622,7.07720125786163,,4.225157232704398,0.9709119496855338,1.7668238993710705,0.17781948102432643,44.524908663423865,,0.0,0.42922120496608046,,,0.41205085528063967,0.5602196844073755,0.4153150171025039,0.5272607450808836,,0.1524621033845881,
2025-04-03,1061.0,62.0,5.0,78.0,,61.0,174.0,129.92,44.54,15.69,7.077201257861638,,4.2251572327044045,0.9709119496855365,1.7668238993710617,-0.028500459731984784,43.15,0.7412790697674417,0.7112697283606009,0.21961500906436832,0.0,0.08730158730158732,0.4120508552806425,0.5602196844073787,0.4153150171025076,0.5272607450808773,0.0,0.8269662921348317,0.35758715015107956
2025-04-04,346.35,3.0,13.0,56.0,,53.0,111.0,67.04,69.22,15.55,7.45,0.0,4.95,0.825,1.675,0.0999999999999999,44.78251907409834,0.0,0.0,0.4684941687945931,0.7459884126550794,0.0,0.5446997776130472,0.9358669833729215,0.21052631578947373,0.46257704725565046,0.19406171162429645,0.884167517875383,0.4162339651621596
2025-04-05,1343.0,80.0,13.0,141.0,37.11,49.0,177.0,95.76,55.09,15.75,8.425,0.0,6.1000000000000005,0.6333333333333333,1.6916666666666669,0.0916666666666666,43.06,1.0,0.9932016418035045,0.20589441937503156,0.31737798404465084,0.38141923436041086,0.8916234247590819,1.0,0.0,0.4743175814499564,0.5821851348728894,0.8024514811031666,0.49703545692421214
2025-04-06,407.72,6.0,11.0,107.0,,49.0,136.0,71.17,77.99,15.75,9.05,0.0,5.883333333333334,1.0416666666666667,2.125,0.0833333333333333,46.47661216113917,0.0,0.05814745738904054,0.7267603481593724,1.0,0.22268907563025211,1.0,1.0,0.5146198830409361,0.7795714705019083,0.5821851348728894,0.8024514811031666,0.6293068823264436
2025-04-07,526.1,22.0,14.0,59.0,,44.0,152.0,72.22,59.83,16.9,6.816666666666666,0.0,4.091666666666667,1.0916666666666668,1.6333333333333333,0.0583333333333333,43.89879308777229,0.15988372093023254,0.17649887552156154,0.33376926150365255,0.4611581278247945,0.0,0.3193476649369904,0.49103865255884266,0.5847953216374274,0.4332257117698858,1.0,0.33258426966292165,0.4235681415663885
2025-04-08,1288.0,80.0,17.0,173.0,,53.0,171.0,90.25,56.74,16.71,6.375,0.0,3.8833333333333337,0.7583333333333334,1.7333333333333334,0.075,41.57,1.0,0.9382149210965552,0.0,0.3674280340947008,0.530812324929972,0.16219421793921418,0.38307061109911494,0.11695906432748553,0.5036689169357209,0.19406171162429645,0.4102145045965265,0.3443024134489401
2025-04-09,599.2,31.0,10.0,104.0,,50.0,127.0,72.86,69.99,15.99,6.983333333333333,0.0,4.141666666666667,1.075,1.7666666666666666,0.175,43.586251243926036,0.2906976744186046,0.2495812261338887,0.2861219459462814,0.769345102678436,0.20868347338935578,0.3786508524833212,0.5169509825091773,0.5614035087719301,0.5271499853243325,0.4851542790607411,0.7043922369765065,0.4406218417594085
2025-04-10,605.41,20.0,13.0,78.0,,52.0,155.0,72.51,53.47,16.06,8.933333333333334,0.0,5.691666666666667,0.675,2.566666666666667,0.3083333333333333,41.56,0.13081395348837208,0.2557897267809824,0.0,0.2682379349046015,0.08730158730158732,1.0,1.0,0.0,1.0,0.2910925674364447,0.6757916241062314,0.33245616982164294
2025-04-11,785.67,16.0,19.0,275.0,,48.08,161.0,89.24,53.13,17.03,7.758333333333334,0.0,4.95,1.1833333333333331,1.625,0.8083333333333333,48.025965396370765,0.07267441860465115,0.4360062045016128,0.9629607928755951,0.25792459125792466,1.0,0.654410674573759,0.9358669833729215,0.713450292397661,0.42735544467273284,0.6714535222200658,0.2794688457609798,0.6707196545743204
