Date,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (hours),Apple Stand Time (min),Cardio Recovery (count/min),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),VO2 Max (ml/(kg·min))
2025-04-02,280.7,,,,,,,,,17.34084900196623,7.0772012578616295,,4.225157232704397,0.9709119496855345,1.7668238993710699,0.17781948102432577,44.52490866342391
2025-04-03,1061.0,62.0,5.0,78.0,,61.0,174.0,129.92,44.54,15.69,7.077201257861635,,4.2251572327044,0.9709119496855336,1.766823899371066,-0.028500459731985783,43.15
2025-04-04,346.35,3.0,13.0,56.0,,53.0,111.0,67.04,69.22,15.55,7.45,0.0,4.95,0.825,1.675,0.0999999999999999,44.78251907409835
2025-04-05,1343.0,80.0,13.0,141.0,37.11,49.0,177.0,95.76,55.09,15.75,8.425,0.0,6.1000000000000005,0.6333333333333333,1.6916666666666669,0.0916666666666666,43.06
2025-04-06,407.72,6.0,11.0,107.0,,49.0,136.0,71.17,77.99,15.75,9.05,0.0,5.883333333333334,1.0416666666666667,2.125,0.0833333333333333,46.476612161139215
2025-04-07,526.1,22.0,14.0,59.0,,44.0,152.0,72.22,59.83,16.9,6.816666666666666,0.0,4.091666666666667,1.0916666666666668,1.6333333333333333,0.0583333333333333,43.898793087772304
2025-04-08,1288.0,80.0,17.0,173.0,,53.0,171.0,90.25,56.74,16.71,6.375,0.0,3.8833333333333337,0.7583333333333334,1.7333333333333334,0.075,41.57
2025-04-09,599.2,31.0,10.0,104.0,,50.0,127.0,72.86,69.99,15.99,6.983333333333333,0.0,4.141666666666667,1.075,1.7666666666666666,0.175,43.58625124392605
2025-04-10,605.41,20.0,13.0,78.0,,52.0,155.0,72.51,53.47,16.06,8.933333333333334,0.0,5.691666666666667,0.675,2.566666666666667,0.3083333333333333,41.56
2025-04-11,785.67,16.0,19.0,275.0,,48.08,161.0,89.24,53.13,17.03,7.758333333333334,0.0,4.95,1.1833333333333331,1.625,0.8083333333333333,48.02596539637078
2025-04-12,462.08,9.0,16.0,116.0,,51.0,139.0,73.65,53.04,16.72,6.283333333333333,0.0,4.541666666666666,0.7333333333333334,1.0083333333333333,0.075,45.02318608407002
2025-04-13,474.37,11.0,13.0,95.0,,48.22,146.0,67.59,56.67,16.37,8.783333333333333,1.7833333333333334,4.758333333333334,0.8666666666666667,1.375,1.233333333333333,42.20114906476253
2025-04-14,1351.0,88.0,13.0,145.0,,49.0,171.0,96.44,72.64,16.55,6.208333333333333,0.0,3.5833333333333326,0.675,1.95,0.0333333333333333,41.6
2025-04-15,619.87,16.0,16.0,84.0,,51.0,170.0,67.23,67.87,15.36,6.791666666666666,0.0,3.683333333333333,0.975,2.1333333333333333,0.1666666666666666,43.19900163540962
2025-04-16,607.71,26.0,16.0,78.0,,51.0,128.0,67.89,51.18,15.77,6.924999999999999,0.0,4.199999999999999,0.825,1.9,0.0583333333333333,43.29
2025-04-17,569.33,17.0,15.0,62.0,,50.0,133.0,64.4,72.41,16.23,6.95,0.0,4.666666666666667,0.7333333333333334,1.55,0.2916666666666667,42.26094829710975
2025-04-18,601.27,14.0,16.0,208.0,,47.0,129.0,73.77,64.48,16.12,6.858333333333334,0.0,3.7333333333333334,0.8833333333333333,2.2416666666666667,0.0416666666666666,49.29001194812847
2025-04-19,556.22,16.0,11.0,183.0,,48.0,164.0,77.37,41.69,15.42,7.516666666666667,0.0,4.716666666666667,0.925,1.875,0.0916666666666666,46.12900215499204
2025-04-20,367.74,2.0,10.0,89.0,,52.0,122.0,72.51,60.12,15.62,7.077201257861633,,4.225157232704401,0.9709119496855325,1.7668238993710692,0.12599582573275703,45.46631977451633
2025-04-21,1944.0,120.0,15.0,214.0,31.17,44.66,173.0,100.47,68.49,15.7,6.608333333333333,0.0,3.9416666666666664,1.1083333333333334,1.5583333333333336,0.2083333333333333,41.93
2025-04-22,652.18,17.0,15.0,111.0,,53.0,133.0,70.11,50.81,17.17,7.508333333333332,0.0,4.949999999999999,1.0416666666666663,1.5166666666666666,0.1666666666666666,42.43
2025-04-23,1052.0,61.0,16.0,101.0,34.69,49.0,165.0,85.59,66.29,17.55,7.15,0.0,4.258333333333334,1.175,1.7166666666666668,0.3,41.8
2025-04-24,663.64,14.0,15.0,163.0,,45.0,117.0,66.08,65.54,15.95,7.516666666666667,0.0,5.066666666666666,0.75,1.7,0.125,47.001467053638954
2025-04-25,735.01,20.0,18.0,280.0,,46.0,141.0,76.9,57.51,15.19,6.45,0.0,4.316666666666666,1.0583333333333331,1.0750000000000002,0.0916666666666666,50.76066052240397
2025-04-26,569.87,10.0,15.0,150.0,,49.0,114.0,69.78,51.06,14.91,6.041666666666666,0.0,4.208333333333333,0.8666666666666667,0.9666666666666668,0.1083333333333333,46.992247805049395
2025-04-27,514.85,9.0,14.0,118.0,,50.0,107.0,63.99,63.92,15.8,7.7666666666666675,0.0,5.075,1.0083333333333333,1.6833333333333331,0.0333333333333333,45.953898304634535
2025-04-28,453.51,6.0,15.0,62.0,,47.0,101.0,59.61,64.97,15.66,6.775,0.0,4.108333333333333,0.775,1.8916666666666664,0.45,43.95665619694943
2025-04-29,1234.0,88.0,13.0,164.0,30.37,46.0,170.0,90.31,46.58,16.34,8.041666666666668,0.0,3.366666666666667,1.5916666666666668,3.083333333333333,0.0,43.06
2025-04-30,597.07,18.0,14.0,122.0,,47.0,120.0,63.94,93.36,16.74,7.625,0.0,4.75,0.95,1.925,0.1166666666666666,45.754046869513274
2025-05-01,527.25,5.0,10.0,74.0,,48.0,115.0,66.78,60.14,15.91,6.916666666666666,0.0,4.258333333333333,0.9916666666666666,1.6666666666666663,0.025,44.68676940473384
